image_a_is_original,entropy,method
1,0.13375689309962974,BIM
-1,0.3018758179438709,NONE
1,0.13375689309962974,BIM_ENTROPY
1,0.5801053679489043,BIM
0,0.5067728548897663,BIM
1,0.617476314582611,BIM
0,0.211127392311048,BIM_ENTROPY
0,0.110837686379347,BIM
-1,0.0685786512455118,NONE
0,0.8492186888289841,BIM_ENTROPY
1,0.7632017538953703,BIM
-1,0.2009597208084921,NONE
1,0.23736870952226485,BIM
0,0.8492186888289841,BIM
-1,0.6980794398272951,NONE
0,0.4418854375230702,BIM
0,0.13977472287782014,BIM_ENTROPY
1,0.4900280757485934,BIM_ENTROPY
1,0.2764174897372513,BIM_ENTROPY
0,0.17553494927349805,BIM_ENTROPY
0,0.8175859330432546,BIM_ENTROPY
0,0.09484233957114574,BIM_ENTROPY
1,0.8828089171262067,BIM_ENTROPY
1,0.8368362769991388,BIM_ENTROPY
-1,0.15080368228543306,NONE
-1,0.184337982796613,NONE
-1,0.8175859330432546,NONE
0,0.3962371785550497,BIM_ENTROPY
-1,0.4189438596883704,NONE
1,0.24799498887037055,BIM_ENTROPY
0,0.1170009284012483,BIM_ENTROPY
0,0.13092694712587108,BIM_ENTROPY
-1,0.2961376270958938,NONE
-1,0.3294929586917372,NONE
0,0.12390241719891275,BIM
0,0.07150926723414727,BIM
0,0.2961376270958938,BIM
1,0.24507555843894366,BIM_ENTROPY
-1,0.692889341282536,NONE
-1,0.3235534278140065,NONE
1,0.3831612621782754,BIM_ENTROPY
0,0.374201630854241,BIM_ENTROPY
0,0.5341550989362535,BIM_ENTROPY
-1,0.5733269202805338,NONE
-1,0.13092694712587108,NONE
0,0.19960626838625967,BIM
1,0.2764174897372513,BIM
0,0.3867853827138399,BIM
1,0.15494233845259,BIM_ENTROPY
-1,0.19735797138734465,NONE
1,0.8368362769991388,BIM
-1,0.3838100244963703,NONE
0,0.3189114215724657,BIM
-1,0.5456202950749992,NONE
0,0.720416997572734,BIM
1,0.7761770002572678,BIM_ENTROPY
0,0.26251384212704554,BIM_ENTROPY
1,0.0685786512455118,BIM_ENTROPY
-1,0.5067728548897663,NONE
1,0.2587107526761446,BIM
0,0.09484233957114574,BIM
0,0.5456202950749992,BIM_ENTROPY
0,0.483316741423474,BIM
1,0.3962371785550497,BIM
-1,0.530340823928144,NONE
0,0.530340823928144,BIM
-1,0.720416997572734,NONE
0,0.4418854375230702,BIM_ENTROPY
1,0.5931141709824275,BIM_ENTROPY
1,0.8828089171262067,BIM
1,0.5733269202805338,BIM
1,0.3018758179438709,BIM_ENTROPY
-1,0.2574020424827463,NONE
0,0.35734499614098275,BIM_ENTROPY
0,0.15080368228543306,BIM
1,0.17553494927349805,BIM
0,0.5173320208946208,BIM
1,0.08667688280891712,BIM
-1,0.24507555843894366,NONE
-1,0.617476314582611,NONE
-1,0.5173320208946208,NONE
-1,0.19960626838625967,NONE
0,0.5307323184304427,BIM_ENTROPY
0,0.19960626838625967,BIM_ENTROPY
-1,0.09484233957114574,NONE
0,0.259538483909576,BIM_ENTROPY
1,0.2981510273934296,BIM_ENTROPY
1,0.184337982796613,BIM
1,0.2510933882171341,BIM
0,0.3838100244963703,BIM
1,0.3139897764007114,BIM_ENTROPY
0,0.9154707441751212,BIM_ENTROPY
-1,0.3139897764007114,NONE
-1,0.1170009284012483,NONE
1,0.6578673616626213,BIM
1,0.5350723146273532,BIM_ENTROPY
-1,0.09051352893144372,NONE
1,0.13092694712587108,BIM
1,0.16092661155915486,BIM
1,0.3756893099629758,BIM
0,0.19735797138734465,BIM
0,0.692889341282536,BIM_ENTROPY
-1,0.374201630854241,NONE
1,0.2009597208084921,BIM
1,0.5733269202805338,BIM_ENTROPY
-1,0.15494233845259,NONE
1,0.13977472287782014,BIM
-1,0.23736870952226485,NONE
-1,0.3661704007785148,NONE
-1,0.5350723146273532,NONE
1,0.12330958266686055,BIM_ENTROPY
1,0.2981510273934296,BIM
0,0.3831612621782754,BIM
-1,0.6578673616626213,NONE
-1,0.211127392311048,NONE
1,0.15494233845259,BIM
-1,0.35734499614098275,NONE
-1,0.5307323184304427,NONE
-1,0.7761770002572678,NONE
0,0.6980794398272951,BIM_ENTROPY
-1,0.09841053232066756,NONE
-1,0.07150926723414727,NONE
-1,0.3962371785550497,NONE
1,0.110837686379347,BIM_ENTROPY
0,0.3235534278140065,BIM
0,0.1803894811020011,BIM_ENTROPY
-1,0.08667688280891712,NONE
0,0.3189114215724657,BIM_ENTROPY
1,0.32777038288162325,BIM
1,0.6578673616626213,BIM_ENTROPY
-1,0.9154707441751212,NONE
-1,0.4900280757485934,NONE
0,0.7624523215623986,BIM_ENTROPY
-1,0.17553494927349805,NONE
1,0.3756893099629758,BIM_ENTROPY
0,0.3235534278140065,BIM_ENTROPY
0,0.3661704007785148,BIM
0,0.3661704007785148,BIM_ENTROPY
-1,0.3189114215724657,NONE
1,0.4189438596883704,BIM
1,0.15080368228543306,BIM_ENTROPY
-1,0.12825359895303184,NONE
1,0.720416997572734,BIM_ENTROPY
-1,0.3831612621782754,NONE
0,0.5307323184304427,BIM
0,0.14213487544882047,BIM
1,0.483316741423474,BIM_ENTROPY
0,0.530340823928144,BIM_ENTROPY
1,0.3294929586917372,BIM
0,0.09841053232066756,BIM_ENTROPY
-1,0.32777038288162325,NONE
-1,0.5341550989362535,NONE
1,0.7624523215623986,BIM
1,0.1803894811020011,BIM
-1,0.110837686379347,NONE
1,0.35734499614098275,BIM
0,0.5341550989362535,BIM
0,0.6980794398272951,BIM
0,0.5350723146273532,BIM
-1,0.5931141709824275,NONE
0,0.26251384212704554,BIM
0,0.3139897764007114,BIM
0,0.3838100244963703,BIM_ENTROPY
0,0.3294929586917372,BIM_ENTROPY
0,0.2009597208084921,BIM_ENTROPY
-1,0.16092661155915486,NONE
0,0.20658605608438385,BIM
-1,0.12390241719891275,NONE
1,0.1170009284012483,BIM
0,0.2574020424827463,BIM_ENTROPY
-1,0.5801053679489043,NONE
1,0.374201630854241,BIM
0,0.4189438596883704,BIM_ENTROPY
1,0.4900280757485934,BIM
-1,0.8828089171262067,NONE
-1,0.483316741423474,NONE
1,0.4086867037281462,BIM_ENTROPY
1,0.5801053679489043,BIM_ENTROPY
0,0.24799498887037055,BIM
1,0.2961376270958938,BIM_ENTROPY
1,0.7761770002572678,BIM
0,0.09841053232066756,BIM
1,0.24507555843894366,BIM
1,0.8175859330432546,BIM
-1,0.14213487544882047,NONE
1,0.20658605608438385,BIM_ENTROPY
1,0.19735797138734465,BIM_ENTROPY
0,0.4086867037281462,BIM
-1,0.7632017538953703,NONE
-1,0.4418854375230702,NONE
0,0.09051352893144372,BIM
-1,0.13977472287782014,NONE
1,0.12330958266686055,BIM
1,0.5456202950749992,BIM
-1,0.2510933882171341,NONE
-1,0.7834364268856053,NONE
-1,0.12330958266686055,NONE
1,0.12390241719891275,BIM_ENTROPY
0,0.09051352893144372,BIM_ENTROPY
-1,0.2587107526761446,NONE
-1,0.8368362769991388,NONE
0,0.3867853827138399,BIM_ENTROPY
0,0.08667688280891712,BIM_ENTROPY
0,0.0685786512455118,BIM
1,0.3018758179438709,BIM
1,0.184337982796613,BIM_ENTROPY
1,0.5931141709824275,BIM
-1,0.2981510273934296,NONE
0,0.12825359895303184,BIM
-1,0.3756893099629758,NONE
1,0.7834364268856053,BIM_ENTROPY
0,0.2574020424827463,BIM
1,0.259538483909576,BIM
-1,0.20658605608438385,NONE
0,0.16092661155915486,BIM_ENTROPY
0,0.23736870952226485,BIM_ENTROPY
0,0.7632017538953703,BIM_ENTROPY
1,0.14213487544882047,BIM_ENTROPY
0,0.2510933882171341,BIM_ENTROPY
-1,0.1803894811020011,NONE
1,0.211127392311048,BIM
-1,0.7624523215623986,NONE
1,0.617476314582611,BIM_ENTROPY
-1,0.2764174897372513,NONE
1,0.5173320208946208,BIM_ENTROPY
-1,0.3867853827138399,NONE
-1,0.13375689309962974,NONE
-1,0.4086867037281462,NONE
1,0.07150926723414727,BIM_ENTROPY
0,0.2587107526761446,BIM_ENTROPY
-1,0.259538483909576,NONE
-1,0.24799498887037055,NONE
0,0.7834364268856053,BIM
1,0.9154707441751212,BIM
1,0.32777038288162325,BIM_ENTROPY
1,0.12825359895303184,BIM_ENTROPY
-1,0.8492186888289841,NONE
-1,0.26251384212704554,NONE
1,0.5067728548897663,BIM_ENTROPY
1,0.692889341282536,BIM
